N,P,K,temperature,humidity,pH,rainfall,crop
63.0,57.0,21.0,22.69070603,58.86076992,7.2280317,257.07369438,mushrooms
70.0,51.0,19.0,25.66653064,80.670384,6.44787586,113.04680219,guava
90.0,40.0,25.0,24.34027917,62.1875888,5.47120101,198.78152677,potato
98.0,45.0,16.0,22.76407922,80.73032936,6.78721445,265.68506509,ashgourd
69.0,48.0,21.0,18.59405612,62.92256909,5.65595929,252.16112459,sweetpumpkin
94.0,39.0,20.0,18.98599194,63.42024875,6.12781712,249.46236566,copra
96.0,49.0,19.0,19.73676345,83.32423936,5.81478903,63.0614265,chickpea
73.0,47.0,37.0,21.89272175,56.42861303,5.02610218,103.97876582,tamarindfruit
60.0,37.0,22.0,19.38662192,57.61895407,5.47375897,174.2063184,carrot
68.0,46.0,41.0,19.10998701,71.9858962,7.99327251,93.18621746,spinach
65.0,57.0,30.0,19.67383318,62.76261325,7.19184101,138.77699486,cotton
79.0,37.0,42.0,24.87598537,78.122601,5.95348605,216.11185598,amorphophallus
93.0,40.0,32.0,24.11879238,66.11021538,7.92742827,65.29095194,barley
63.0,53.0,18.0,21.20219976,60.8465653,5.36702585,225.14363176,gingellyoil
75.0,42.0,21.0,21.05176333,72.16479001,6.58023631,166.4471416,turdal
70.0,59.0,39.0,26.8327818,70.20297666,7.62628792,112.27020837,suvarnagadde
83.0,56.0,34.0,24.96138312,80.79389494,5.6658287,168.8324307,capsicum
93.0,52.0,42.0,24.41230245,82.57816438,5.78785151,268.79257969,wood
63.0,58.0,43.0,23.77207515,82.22954003,5.51900874,94.91051675,corrianderseed
100.0,46.0,42.0,19.85874811,70.09115204,7.24709873,145.89649006,ladiesfinger
75.0,53.0,41.0,20.13654215,74.84592514,7.11314339,203.08528506,greenbanana
84.0,54.0,38.0,24.83479073,84.57218472,7.75318878,264.85094664,whitepumpkin
75.0,35.0,41.0,20.29631345,74.57244591,7.30236926,187.67948265,amaranthus
74.0,46.0,38.0,26.87725298,69.82472032,5.45954419,116.27719023,leafyvegetable
77.0,57.0,18.0,26.48083887,63.48939783,7.2007045,174.72561161,elephatyam
77.0,51.0,43.0,24.19422507,84.56104003,5.12186729,192.39917018,banana
95.0,51.0,41.0,21.18576647,75.97439045,6.36987864,98.02294657,tendercoconut
67.0,40.0,36.0,26.17434266,69.92659914,5.55816995,269.08161636,pumpkin
70.0,40.0,25.0,19.72297113,80.79720625,5.50680879,69.89991544,nigerseed
95.0,39.0,35.0,18.24957856,56.17363009,6.72058771,138.74276466,pear
85.0,59.0,27.0,23.78905276,67.49535983,5.4721651,197.56447028,cowpea
98.0,48.0,26.0,19.53313693,70.03965902,6.29912247,71.99076359,chholia
87.0,38.0,20.0,19.36684931,77.81285661,5.57285883,276.97185203,coconut
74.0,57.0,39.0,25.10309155,70.07073089,6.8789338,207.13905828,leafyvegetable
61.0,57.0,18.0,22.83417105,72.01431494,7.77894838,114.7866404,cumbu
89.0,45.0,19.0,20.87892006,75.48951516,7.04334849,202.00261847,zizyphus
70.0,57.0,21.0,21.41084666,68.90197248,7.42928399,98.5418171,urddal
87.0,60.0,39.0,22.81476551,72.78676884,7.33414294,131.80960841,pumpkin
72.0,39.0,43.0,26.40227478,69.96005004,5.52558323,180.40753825,tinda
79.0,45.0,33.0,21.58313922,65.40448807,7.95483352,117.793114,cucumber
62.0,42.0,36.0,19.03890424,55.17744013,6.92028534,75.53351768,barley
96.0,50.0,20.0,25.05790713,65.25431006,6.27214883,82.56371239,zizyphus
79.0,50.0,17.0,20.7799508,81.79982453,5.30017376,157.35567773,mushrooms
71.0,57.0,40.0,22.09603663,71.10818865,5.0487524,63.58358229,spongegourd
67.0,57.0,18.0,26.14261254,70.20391397,7.92910988,100.38756859,frenchbeans
78.0,36.0,16.0,22.98257258,61.54875986,6.17561199,288.01996092,elephantyam
82.0,53.0,39.0,25.76703601,67.67325898,7.60257385,171.57212831,guava
97.0,54.0,41.0,26.53948173,59.28254308,5.68654014,86.98714473,cashewnuts
81.0,41.0,19.0,22.36496108,68.24434707,7.09934244,208.27687837,ladiesfinger
92.0,51.0,28.0,21.16183879,67.09102329,5.42923263,252.32332583,ghee
99.0,52.0,35.0,19.34258422,55.44988316,5.42313017,175.63162345,coconut
76.0,43.0,34.0,25.62011003,62.50026534,5.21025667,125.1555648,greenbanana
80.0,59.0,44.0,18.4292637,77.46758064,5.89857616,270.55797261,mothbeans
69.0,57.0,28.0,23.13350114,70.63153667,7.35914412,159.95325662,betalleaves
92.0,49.0,43.0,23.28139541,64.0594293,6.34906261,132.40996748,whitepumpkin
83.0,52.0,15.0,25.96739101,83.16666561,7.98517013,159.38178278,peas
65.0,39.0,25.0,26.39132048,81.40985506,7.03161181,182.69226115,linseed
97.0,52.0,29.0,22.53028133,62.00079393,6.66641808,102.65643723,taramira
74.0,37.0,40.0,22.81707798,55.33691303,5.16388657,190.57494654,tomato
