N,P,K,temperature,humidity,pH,rainfall,state,crop
84.0,58.0,44.0,20.96681047,77.41374714,7.03981368,259.61660634,Gujarat,kinnow
97.0,40.0,34.0,25.25344338,61.14672084,6.294438,86.67492651,Andhra Pradesh,potato
97.0,53.0,30.0,21.68149598,72.68964453,6.69793809,298.11251443,Gujarat,fieldpea
95.0,38.0,44.0,22.81894183,64.32465736,5.93020305,275.98189723,Punjab,muskmelon
88.0,55.0,44.0,21.91270136,82.75138287,5.99036697,207.06488909,Kerala,guava
62.0,40.0,26.0,24.88993874,66.79064299,6.73779535,156.36081679,Sikkim,turnip
95.0,37.0,30.0,23.03357816,70.77176644,7.68403489,287.31786283,Kerala,colacasia
67.0,57.0,26.0,20.46274328,72.22344046,5.58336074,294.49626548,Assam,brokenrice
73.0,37.0,21.0,23.00882354,83.66479797,5.22891486,86.76606662,Manipur,mothbeans
70.0,45.0,35.0,20.95399646,84.25499139,7.18305643,239.68004537,Odisha,sugar
73.0,45.0,19.0,24.5634159,71.54461238,6.68657706,231.60671892,Chhattisgarh,frenchbeans
73.0,47.0,19.0,20.91168474,63.05916047,7.23978114,293.50390039,Mizoram,greenpeas
71.0,58.0,36.0,20.69943035,84.81099032,6.31582016,248.94750023,Karnataka,drumstick
82.0,38.0,40.0,19.32030138,65.46670107,6.61854482,109.24757512,West Bengal,barley
78.0,55.0,41.0,20.42222409,78.07479833,7.44709645,81.01911013,Rajasthan,brinjal
68.0,37.0,35.0,19.81119852,83.13842269,7.69721476,62.3111023,Mizoram,cucumber
90.0,37.0,23.0,19.60439479,77.7532099,5.42014057,221.97419016,Chhattisgarh,thinai
72.0,60.0,29.0,20.80393814,55.49894891,6.77464941,214.49532755,Punjab,frenchbeans
81.0,48.0,34.0,22.8136309,60.06344967,5.83868669,125.13830689,Assam,masurdal
94.0,46.0,42.0,26.70571418,84.80987313,5.40174083,230.62191652,Nagaland,wheatatta
67.0,57.0,39.0,25.70808611,74.96572865,5.66620161,284.73220253,Arunachal Pradesh,mustardoil
69.0,54.0,19.0,23.11285634,84.25580396,5.58285791,280.72718177,Andhra Pradesh,ragi
98.0,41.0,38.0,26.18690464,73.91024632,5.81275263,230.83711051,Karnataka,zizyphus
88.0,53.0,29.0,23.47847817,80.56626787,7.47244419,244.13066947,Chhattisgarh,chickpea
84.0,45.0,29.0,25.59120632,73.87039621,7.89516217,246.06110476,Uttar Pradesh,chillycapsicum
88.0,55.0,38.0,19.91683717,56.27004921,6.05102012,263.25714588,Telangana,parval
68.0,59.0,24.0,20.63164711,70.63285381,5.08984839,130.00709392,Uttarakhand,coconutseed
68.0,43.0,41.0,19.52343269,73.83510796,5.37675932,125.51813158,Uttarakhand,greenavare
76.0,38.0,22.0,24.23422427,62.86606019,6.19105633,280.14658006,Andhra Pradesh,colacasia
72.0,36.0,40.0,18.85665061,68.42735253,5.15951958,84.2478218,Karnataka,karamani
91.0,55.0,43.0,21.80879682,67.0086213,6.79053388,159.90405412,Odisha,groundnutseed
99.0,41.0,27.0,20.08466837,83.69974737,5.62316555,269.77778304,Assam,chanadal
97.0,52.0,19.0,18.98256434,78.71389259,7.05760241,205.96968677,Uttar Pradesh,sapota
74.0,48.0,38.0,25.82877837,70.11699013,6.38391121,202.98621905,Maharashtra,brinjal
87.0,52.0,42.0,25.13630835,57.97255674,6.14490345,251.81126371,Jharkhand,peas
70.0,46.0,16.0,23.51605643,76.61730576,5.67744855,175.9616398,Nagaland,leafyvegetable
63.0,51.0,37.0,25.59479203,70.88792797,6.78692859,175.31414988,Tamil Nadu,sapota
83.0,57.0,15.0,26.18049748,81.40327595,7.75591309,166.38089357,Himachal Pradesh,carrot
63.0,42.0,34.0,25.68103891,56.06984796,5.94138563,268.647895,Sikkim,banana
82.0,53.0,28.0,20.06340373,79.60449718,5.55329478,63.73426183,Karnataka,cotton
76.0,40.0,23.0,26.74212794,78.93186898,7.85253716,269.69660466,Nagaland,peppergarbled
84.0,37.0,27.0,21.81355498,59.51848628,7.73247519,282.72481183,West Bengal,suratbeans
84.0,55.0,23.0,18.44391297,78.03422096,5.43967334,296.11510921,Kerala,tendercoconut
89.0,52.0,38.0,20.34280299,55.29451382,7.53659059,216.78002581,Mizoram,drychillies
84.0,37.0,33.0,18.39847576,81.71129788,6.09941868,233.25455077,Manipur,jaggery
98.0,37.0,37.0,25.04224112,84.60507814,7.7421734,155.02197823,Bihar,coconutoil
78.0,55.0,43.0,24.96462542,79.61307296,7.40678224,103.77507417,Telangana,elephatyam
91.0,36.0,15.0,24.36345699,62.63245799,6.13422176,93.02079875,Karnataka,mushrooms
67.0,52.0,26.0,26.01588928,71.82491235,6.07816866,270.57771358,Meghalaya,karamani
90.0,45.0,37.0,21.34007468,71.32963889,5.17617406,271.80364134,Nagaland,horsegram
90.0,44.0,35.0,18.87322424,77.44138633,5.55037468,261.98668153,Maharashtra,groundnutseed
78.0,38.0,32.0,22.47196626,69.42219401,5.45249113,106.73977616,Bihar,moathdal
77.0,47.0,44.0,26.88984067,84.98736304,6.79811029,190.77746515,Punjab,rice
81.0,50.0,18.0,18.7985452,69.99996179,7.61854994,248.78779574,Andhra Pradesh,capsicum
68.0,39.0,34.0,25.58664791,80.50955327,7.35474869,140.91164378,Himachal Pradesh,linseed
93.0,50.0,19.0,25.74863961,64.79997493,7.94226857,215.05882925,Chhattisgarh,coconutseed
91.0,51.0,20.0,26.51121323,69.41744994,6.74703204,184.7651787,Punjab,snakeguard
65.0,38.0,40.0,22.65101588,72.51005987,6.11178188,123.68700135,Arunachal Pradesh,chanadal
63.0,36.0,23.0,22.85161071,68.54030203,6.13670486,83.66989443,Tripura,peascod
77.0,43.0,20.0,21.437859,56.67627162,7.36066358,172.60087262,Goa,betalleaves
91.0,51.0,16.0,21.77442185,59.13527895,5.53233989,97.33084352,Haryana,chickpea
86.0,47.0,34.0,25.52595325,72.28670794,6.21356041,277.85544332,Goa,blackpepper
67.0,37.0,29.0,20.18308158,67.20135702,5.93732622,230.28257825,Punjab,seemebadnekai
74.0,38.0,33.0,21.57925092,78.47593937,6.64720198,173.25855273,Tripura,greenpeas
89.0,38.0,24.0,22.96993429,65.74848458,6.7890868,127.44613649,Tamil Nadu,masurdal
61.0,39.0,23.0,20.68016657,73.27272258,6.98062583,250.01706669,Madhya Pradesh,grapes
72.0,39.0,42.0,19.27208384,57.06351808,5.77473877,249.30590288,Nagaland,pomegranate
78.0,42.0,34.0,23.1908658,73.82030531,5.49535809,80.66027116,Uttarakhand,onion
90.0,39.0,33.0,26.41856326,67.33256454,5.75068616,218.99440577,Himachal Pradesh,leafyvegetable
70.0,54.0,37.0,26.84179468,62.6982592,7.27705516,151.10182748,Kerala,chickpea
62.0,52.0,25.0,20.88557371,61.96959133,5.21969974,245.80093924,Jharkhand,lentil
67.0,45.0,22.0,19.8319816,64.14922901,5.42136186,230.38818047,Tamil Nadu,ashgourd
75.0,40.0,16.0,26.76163073,61.39830691,7.4257428,176.48234138,Jharkhand,mungbean
68.0,45.0,27.0,19.78483025,81.51153152,6.10986305,160.1109801,Assam,lentil
75.0,41.0,37.0,23.71942887,82.23127913,7.66859724,96.95976181,Gujarat,redgram
84.0,42.0,36.0,25.58765139,55.27655166,7.00873589,290.30400718,Assam,rubber
67.0,51.0,27.0,24.46754015,77.94576574,5.64973694,214.24637562,Odisha,plum
67.0,43.0,38.0,20.66589209,60.26846422,5.20408818,148.18531972,Tamil Nadu,leafyvegetable
66.0,44.0,20.0,23.56630528,59.06973358,5.33339015,79.49122776,Meghalaya,carrot
65.0,42.0,36.0,26.25109716,71.97993547,5.55251606,192.48700841,Uttar Pradesh,ginger
81.0,52.0,38.0,21.97473462,59.18497809,6.11293172,121.48916758,Karnataka,coconutoil
93.0,58.0,41.0,24.96896588,61.58698034,6.02635763,292.24438914,Maharashtra,amaranthus
68.0,58.0,39.0,20.50173518,76.53429908,6.04265645,124.60545767,Odisha,beans
63.0,36.0,27.0,21.12852882,76.96290362,5.94444255,236.66052373,Sikkim,cowpea
63.0,56.0,41.0,19.38432839,58.52399486,7.42481453,128.18985104,Sikkim,greenpeas
90.0,36.0,25.0,21.91601906,73.77712642,7.7479817,219.73485338,Madhya Pradesh,littlegourd
86.0,57.0,15.0,21.6700952,68.88520001,6.31303483,89.55026163,Uttar Pradesh,knoolkhol
87.0,52.0,38.0,19.79141796,84.79416486,5.78855364,299.61415246,Mizoram,amla
82.0,51.0,24.0,21.57379331,81.29915325,6.00026271,216.10423366,Kerala,tinda
87.0,60.0,24.0,23.24784884,65.00800181,6.54027897,112.69876689,Punjab,leafyvegetable
81.0,41.0,27.0,25.77879177,62.20383996,7.29666683,188.80418969,Madhya Pradesh,taramira
71.0,59.0,28.0,22.85185922,82.98683208,5.8124348,284.61284525,Himachal Pradesh,groundnut
90.0,36.0,35.0,20.14691081,60.01537946,7.75242873,265.78848231,Manipur,redgram
88.0,58.0,21.0,26.7631913,81.85221859,5.23987037,134.63872818,Nagaland,spinach
93.0,60.0,26.0,18.41393792,75.53120679,6.05835542,104.05245942,Madhya Pradesh,pineapple
74.0,47.0,38.0,23.21958068,65.65450814,6.19357245,238.62692631,Andhra Pradesh,mustardoil
89.0,44.0,19.0,24.20624181,84.94502295,7.33128288,98.81217721,Odisha,peascod
68.0,57.0,39.0,25.81341485,64.51732115,6.25998457,245.34571526,Tripura,ragi
78.0,49.0,39.0,21.68779631,73.49237657,7.67047382,147.09143016,Assam,elephantyam
84.0,53.0,24.0,25.34264915,72.63731519,6.32933242,188.02011898,Jharkhand,banana
61.0,45.0,42.0,25.6128192,60.69034516,7.86282472,121.71478763,Haryana,hybridcumbu
64.0,51.0,36.0,24.6897659,58.71950304,7.89291039,166.93097293,Sikkim,tobacco
66.0,60.0,15.0,21.49632584,62.13351207,6.02071776,294.15532776,Kerala,maize
93.0,56.0,17.0,25.30876943,79.27626582,6.61685958,223.64180136,Jharkhand,lime
91.0,44.0,38.0,22.80425732,55.83411166,7.07933302,60.75595899,Nagaland,ghee
87.0,36.0,41.0,20.64198403,71.72009203,6.5480964,270.73034997,Andhra Pradesh,carrot
96.0,57.0,25.0,20.64736892,78.6956541,5.98805805,297.51578787,Maharashtra,moongdal
66.0,46.0,35.0,23.75961008,66.57573646,7.64900008,209.92048343,Punjab,amphophalus
95.0,35.0,30.0,24.50104139,71.21956543,7.21607514,85.31669491,Mizoram,muskmelon
80.0,50.0,28.0,22.7923733,62.27723682,5.43373248,231.25045503,Mizoram,garlic
79.0,44.0,30.0,24.35428774,63.12210217,5.47783257,146.24429991,Manipur,pineapple
69.0,37.0,35.0,26.68215264,70.97768693,6.57318826,210.1793995,Uttar Pradesh,fieldpea
64.0,59.0,32.0,19.87296502,83.70581282,7.43568837,180.87452954,Telangana,guava
89.0,59.0,19.0,24.28505233,65.80278069,7.90732744,173.60697318,Rajasthan,sweetpumpkin
92.0,45.0,44.0,24.69275484,66.80675946,6.31369126,89.33339917,Mizoram,beans
95.0,46.0,35.0,22.32023271,74.57331531,7.88081725,284.68284476,Manipur,taramira
91.0,41.0,40.0,21.83762973,74.28110805,5.01708657,114.80845481,Sikkim,sugar
77.0,36.0,37.0,18.74421433,80.36664735,7.95988085,78.25885897,Telangana,rubber
60.0,51.0,15.0,18.13368316,84.75590096,6.64951313,280.76062816,Arunachal Pradesh,sweetpotato
88.0,36.0,19.0,19.80919127,65.93666876,5.7824667,177.35179788,Meghalaya,suvarnagadde
69.0,50.0,26.0,19.9346109,68.24747855,7.3624785,269.53585702,Assam,arecanut
86.0,38.0,18.0,23.69974361,82.31024567,5.3275065,255.58870361,Kerala,suvarnagadde
61.0,56.0,16.0,20.2750823,82.30837701,6.9754212,277.76155876,Madhya Pradesh,cashewnuts
95.0,45.0,38.0,25.23256908,68.37132465,7.62084785,127.44922723,Rajasthan,rajgir
73.0,51.0,22.0,20.84545063,84.33834923,6.33774725,185.2482768,Karnataka,cashewnuts
61.0,49.0,25.0,18.0789694,68.22472027,7.88701852,281.26351944,Odisha,bajra
89.0,54.0,42.0,19.5871644,80.83463466,5.45180146,250.2407434,Bihar,seam
98.0,41.0,30.0,26.68169306,66.40770831,7.81494108,115.29454375,Arunachal Pradesh,corrianderseed
98.0,58.0,36.0,20.88684991,67.17721643,7.51680649,173.13537145,Gujarat,wheatatta
74.0,37.0,17.0,26.47840413,55.27855637,5.69000012,116.55651974,Goa,clusterbeans
76.0,53.0,17.0,21.14392903,82.43921563,7.30642377,205.91901998,Mizoram,roundgourd
66.0,52.0,23.0,24.4766994,65.50641775,5.36052528,255.26523582,West Bengal,snakeguard
61.0,48.0,17.0,18.41022993,78.50221005,7.15565576,104.87379466,Maharashtra,tapioca
72.0,46.0,24.0,22.17178357,74.27389377,6.41634354,193.23198304,West Bengal,sesamum
99.0,41.0,23.0,20.70182987,64.01097413,7.82751718,161.70071868,Himachal Pradesh,peas
91.0,58.0,30.0,21.18228666,80.73684884,5.7419442,87.67025636,Arunachal Pradesh,groundnutseed
81.0,52.0,24.0,25.11659058,57.46624607,5.08965494,242.93296297,Nagaland,jute
69.0,47.0,24.0,26.87399707,78.87047201,7.56769733,298.4160229,Rajasthan,banana
63.0,39.0,16.0,20.32432177,66.09210673,5.87036772,272.86987013,Karnataka,suratbeans
72.0,60.0,23.0,24.13271361,84.63490102,5.71098765,239.32502321,Maharashtra,tendercoconut
100.0,47.0,32.0,26.39107329,83.7974609,7.0367336,209.19896669,Tamil Nadu,wheatatta
63.0,50.0,20.0,18.18248708,80.16042438,5.14151512,273.80217126,Assam,wheatatta
98.0,35.0,37.0,24.71597457,74.33467932,7.46779103,159.99547197,Nagaland,guar
72.0,39.0,34.0,24.48064663,73.30663691,6.30131958,72.03438783,Karnataka,sapota
83.0,49.0,15.0,21.41304873,64.7042032,7.86878688,285.82120601,Maharashtra,fieldpea
72.0,47.0,36.0,18.31077985,78.44251101,5.89088094,191.37579731,Gujarat,sweetpotato
62.0,48.0,32.0,21.95853006,55.88122912,7.96644172,164.76237442,Nagaland,peppergarbled
79.0,56.0,22.0,23.21707333,77.60750037,6.65714776,65.51310355,Maharashtra,cumbu
79.0,52.0,15.0,18.37024883,81.15540011,6.87998284,269.14749383,Punjab,turdal
99.0,55.0,21.0,19.48120206,56.5929934,7.66420774,192.80404972,Goa,coconut
62.0,59.0,34.0,25.19646348,75.6971115,6.24973587,150.4840859,Tripura,maize
93.0,41.0,24.0,24.63357057,66.87832743,6.2667814,172.69730234,Tamil Nadu,spongegourd
79.0,50.0,30.0,23.66942392,64.84246916,7.58725786,231.11800058,Meghalaya,snakeguard
77.0,37.0,33.0,23.66928228,82.32537471,7.12717604,91.17788043,Tamil Nadu,betalleaves
