N,P,K,temperature,humidity,pH,rainfall,crop
96.0,39.0,35.0,24.95304346,68.52415398,7.28056652,60.00937516,tobacco
67.0,43.0,18.0,23.47168014,68.29681961,5.32527628,189.9800066,ladiesfinger
89.0,56.0,35.0,20.75557101,77.19096567,5.05042578,207.98424979,mothbeans
68.0,52.0,18.0,25.38178847,56.20506815,5.20796266,152.10142567,apple
94.0,46.0,33.0,18.15898869,74.56044402,5.57559747,113.6072659,soyabean
92.0,56.0,16.0,20.19633809,66.14800365,5.91579131,229.10884445,thinai
78.0,53.0,34.0,18.38999551,81.59145545,7.30575505,289.46780232,kinnow
67.0,46.0,34.0,21.91057834,70.91951374,6.70278476,152.82382693,wheatatta
60.0,37.0,45.0,18.07862381,82.5307969,5.51899586,242.28685139,lime
76.0,45.0,36.0,25.65256878,80.56787015,7.65346956,171.73360696,coffee
93.0,44.0,30.0,21.66159488,82.26843939,6.10648722,117.44585461,peas
94.0,52.0,23.0,25.65849708,68.50774131,5.27211216,126.1107496,groundnut
61.0,38.0,25.0,23.89423099,66.56760088,5.94850885,142.15557315,beetroot
85.0,53.0,21.0,19.73723535,72.59320802,5.1039971,260.23806365,tapioca
93.0,51.0,17.0,22.53908912,58.98065479,6.37256154,104.84667656,paddy
68.0,52.0,25.0,23.17427705,64.89038508,7.64970795,64.5810089,fieldpea
66.0,50.0,26.0,20.05169704,69.77844822,7.99691398,296.23826126,greenchilli
86.0,52.0,44.0,18.52869754,66.97215405,5.78751229,169.37585935,turmeric
96.0,37.0,42.0,22.9136448,65.43800256,7.4348206,252.66782973,littlegourd
72.0,45.0,15.0,19.20963954,67.26599442,5.88149409,126.76249341,pigeonpeas
72.0,52.0,39.0,23.7355079,77.16556057,6.12199279,234.1796331,watermelon
66.0,59.0,21.0,23.78123409,72.72442416,5.23977738,241.23809647,greenavare
93.0,58.0,15.0,26.44294934,74.22645098,5.47404094,126.20777775,gingellyoil
76.0,37.0,19.0,19.12269753,79.40418457,7.54549281,169.54353762,carrot
82.0,58.0,24.0,22.84911573,80.48107934,7.01934032,113.04756083,elephantyam
71.0,45.0,25.0,22.70926377,74.91209106,6.41008324,256.33898837,lentil
72.0,59.0,23.0,21.58832072,58.37088109,7.91049279,143.7677087,mustardoil
68.0,56.0,21.0,24.87843955,63.76251737,6.67469523,297.7973196,redgram
99.0,40.0,44.0,22.04003804,70.68831423,6.23119423,290.54911749,moongdal
68.0,53.0,17.0,26.42776931,71.30580011,6.71426585,76.82899294,groundnut
61.0,51.0,44.0,19.82935538,61.25792707,6.22164983,112.20417475,frenchbeans
93.0,48.0,38.0,20.65562076,82.46705605,6.12071434,163.63478908,guava
82.0,45.0,26.0,25.24980938,81.35734655,7.11623237,102.11176411,hybridcumbu
97.0,36.0,30.0,22.64569934,66.43266853,7.49562519,126.10930403,rubber
66.0,50.0,36.0,18.58308991,58.84152399,6.97268983,188.9282793,blackgram
87.0,59.0,34.0,26.75192283,66.66080239,5.76059251,114.2910463,greenchilli
86.0,57.0,17.0,23.80773348,73.96676388,6.65431743,127.9453017,greenavare
67.0,41.0,27.0,22.16102487,77.79326761,6.30375245,116.18101697,jowar
68.0,55.0,28.0,19.16095039,65.56206547,7.77779873,208.7588637,pigeonpea
88.0,36.0,19.0,23.80432754,76.12595246,5.53038614,224.62204294,onion
70.0,57.0,33.0,26.91562972,77.70036874,6.53033706,220.66882396,rajgir
68.0,51.0,28.0,20.57474046,55.90425461,7.50521153,170.36159136,sapota
84.0,60.0,32.0,19.44522063,81.61298179,6.18134908,212.62837352,garlic
89.0,37.0,18.0,24.50100648,57.16472766,6.13982387,260.98593227,maidaatta
