N,P,K,temperature,humidity,pH,rainfall,crop,yield
82.0,36.0,38.0,26.53825138,79.44475793,7.45761091,282.60996139,hybridcumbu,23392.92
90.0,53.0,19.0,18.46056655,83.23152622,5.34913484,171.18821949,chickpea,14303.07
71.0,57.0,18.0,21.31762939,66.60196952,7.74732903,200.4909582,ragi,13693.7
77.0,54.0,38.0,20.84285127,63.17567811,6.06197417,264.99595279,orange,27937.58
82.0,44.0,25.0,22.04325652,81.12914894,7.75827673,144.46804756,onion,27103.55
84.0,45.0,19.0,18.21082752,59.22557123,5.17767651,119.41063816,masurdal,22070.5
94.0,55.0,37.0,18.48365751,78.51048966,5.00867497,266.96741326,mustardoil,14325.83
76.0,54.0,27.0,21.27884968,66.07152884,5.59859918,269.81754952,ghee,13896.41
95.0,37.0,30.0,20.7082871,71.88896666,6.66013989,268.87155696,suvarnagadde,21490.92
96.0,43.0,24.0,18.88026817,61.93715014,7.17564712,274.91457882,turmeric,1654.0
96.0,42.0,17.0,26.34213319,68.35292442,6.53424565,75.36637398,pumpkin,15225.84
62.0,52.0,40.0,21.86457487,56.82626587,5.32902188,112.34824703,pigeonpea,22057.36
86.0,53.0,29.0,25.4864042,84.73100125,6.0228818,149.29422113,cabbage,11893.09
91.0,53.0,39.0,18.56384036,82.96434482,6.0674959,69.95597443,chillycapsicum,22338.13
73.0,54.0,21.0,24.38581283,58.5961955,7.36707185,76.18152568,sesamum,14253.67
88.0,57.0,42.0,22.50467821,58.53851857,6.3626259,75.21835791,suvarnagadde,21684.98
80.0,36.0,19.0,22.96749853,81.94127502,5.85818518,276.75907046,rubber,10854.4
68.0,55.0,33.0,26.44431732,83.32972719,7.18244094,177.57335507,tendercoconut,17921.47
74.0,44.0,24.0,20.35534251,65.36129926,6.80757718,146.83800103,sweetpumpkin,16432.05
84.0,59.0,34.0,18.63225299,72.82575017,7.51548538,103.04927988,coconutseed,15182.51
79.0,53.0,31.0,21.75259002,65.81542691,5.41422558,119.71843274,pigeonpea,22251.64
61.0,54.0,20.0,22.02957201,67.01607115,5.78752459,86.1955131,cabbage,11261.64
76.0,47.0,20.0,23.67260252,71.52154087,5.40035998,194.16502414,dusterbeans,21865.9
66.0,54.0,28.0,26.42634565,61.89593154,5.56864633,298.05569894,rubber,14515.28
95.0,47.0,39.0,24.6133328,78.12836926,6.49342121,233.23416024,fish,24034.76
83.0,58.0,39.0,20.32004015,79.0247397,7.80134042,77.77401068,bittergourd,20162.55
90.0,46.0,29.0,23.5633159,70.78546473,5.21044033,97.32696673,castorseed,11388.49
87.0,53.0,15.0,26.84566187,61.6760232,6.00247101,202.6324329,corrianderseed,14959.43
95.0,48.0,32.0,20.99127214,80.53974674,5.50390016,164.13393185,bottlegourd,12072.73
94.0,50.0,22.0,18.81655156,81.22858444,5.17101285,291.3892846,pumpkin,16751.63
93.0,56.0,36.0,18.3145253,81.90390244,7.20797698,232.69467288,garlic,1989.21
79.0,50.0,19.0,25.12924076,74.10145071,7.46810248,99.38758137,fieldpea,21005.41
63.0,48.0,43.0,18.9462213,63.89055469,7.27690228,201.90013007,horsegram,21995.65
65.0,38.0,43.0,19.70742688,71.81142842,7.16695968,167.59753416,clusterbeans,10031.24
63.0,43.0,26.0,18.42722232,68.48592538,7.65015036,243.72442734,beans,10623.95
77.0,41.0,30.0,22.18195364,61.43081353,7.99697597,72.87743453,soyabean,13609.49
75.0,42.0,16.0,24.11271007,72.84773695,7.51158223,275.15974944,elephantyam,24116.95
75.0,37.0,39.0,24.34084058,71.41464953,6.5657927,128.67158616,carrot,24714.14
74.0,44.0,40.0,26.95356056,72.40028728,7.50698913,178.63079161,maidaatta,14974.82
69.0,39.0,23.0,25.71399127,81.98984808,6.22012399,190.35851111,suratbeans,14608.83
72.0,60.0,24.0,18.47027123,65.42153513,5.20982947,114.81266567,lemon,23952.38
80.0,56.0,44.0,24.20431179,76.64812858,7.80926381,133.81879377,cumbu,19254.97
88.0,46.0,40.0,25.12037495,59.1248925,6.04190283,170.02133608,redgram,21429.0
61.0,59.0,39.0,18.3816892,67.81680747,7.47835174,137.62024111,dusterbeans,10162.33
95.0,43.0,37.0,26.51515232,83.53459111,7.30464247,242.42286406,jaggery,10009.09
86.0,42.0,28.0,18.46173211,63.40346239,7.90510423,218.81054992,hybridcumbu,20316.16
100.0,46.0,29.0,18.04278532,67.16264105,7.32497487,299.62325023,littlegourd,19182.59
75.0,50.0,41.0,25.42991258,59.61380305,6.14498811,88.25698323,karamani,20015.2
94.0,60.0,18.0,25.36631232,59.38697095,7.19296507,130.87616712,amla,16262.47
94.0,57.0,34.0,22.61162259,80.05831075,6.13263667,169.41992107,greengram,24465.9
75.0,49.0,43.0,20.65814679,76.68175267,6.77393202,98.04591537,grapes,15098.31
84.0,54.0,17.0,22.39003887,55.25865311,6.36443035,195.3286006,spongegourd,24923.66
69.0,56.0,27.0,18.41695105,73.53624007,6.02333273,84.34886195,watermelon,12079.48
81.0,52.0,15.0,19.69219997,61.47892738,5.28145505,150.93850366,tapioca,14192.5
70.0,44.0,40.0,18.92266424,80.04143181,7.98707251,215.79688346,nigerseed,22753.71
71.0,58.0,39.0,20.01944901,82.37091281,7.65898309,126.56610424,tinda,24135.34
92.0,56.0,37.0,20.68309162,57.33447442,6.94259935,105.59716168,pomegranate,23910.8
80.0,46.0,32.0,26.27968472,67.45270921,5.17492894,249.20652336,rice,4678.83
69.0,45.0,26.0,20.49951936,79.05997089,6.22978796,273.66826376,sugar,99830.79
71.0,40.0,19.0,24.38940934,66.56162951,6.34926605,140.65446565,greenonion,15261.68
95.0,47.0,36.0,24.80507928,78.99278116,6.92572752,187.34108297,moongdal,17156.83
79.0,55.0,30.0,21.5735351,81.85907337,5.79598705,88.31308436,barley,11497.21
74.0,55.0,43.0,21.9893271,66.41809675,6.97873178,186.86965472,whitepumpkin,15384.67
95.0,38.0,25.0,24.56717256,68.87639836,7.19880336,235.68937651,potato,21229.6
89.0,50.0,18.0,23.49877283,70.41613094,5.39747843,90.98081116,moathdal,19185.67
68.0,42.0,27.0,18.92266264,66.20981197,7.65914118,117.24392418,ridgegourd,15575.7
64.0,59.0,24.0,23.12053116,62.66647203,7.89258692,136.87342165,horsegram,20389.27
80.0,40.0,38.0,21.86359947,76.5480865,7.99177514,238.50785285,groundnutseed,16727.04
80.0,57.0,25.0,18.62138851,68.36946685,5.66183715,191.13771894,cumbu,24532.86
70.0,36.0,40.0,20.05265251,80.74317903,7.67642365,131.98296022,squash,17722.15
69.0,35.0,23.0,23.62564771,66.94396378,5.13037929,130.46053227,lentil,23921.11
67.0,45.0,24.0,21.86607187,70.87188045,7.72663654,179.47819629,brokenrice,3299.5
68.0,58.0,22.0,22.85772365,81.78632868,5.74671413,181.87412272,jute,13427.58
82.0,41.0,21.0,23.67317255,60.718698,5.39232185,175.59633401,jute,12469.8
77.0,54.0,36.0,25.81393983,74.33566061,6.26491924,244.78077664,mustardoil,12276.02
83.0,39.0,25.0,24.26969702,66.11296221,6.29301559,211.15014259,mint,17919.26
92.0,53.0,38.0,19.17156564,73.9170864,7.18329343,75.39005404,greengram,14931.42
77.0,42.0,34.0,21.82143336,83.57657035,5.39628529,65.03091086,hybridcumbu,23385.74
74.0,51.0,22.0,19.89566538,81.14937591,7.37383359,73.53392338,bengalgram,20767.11
71.0,39.0,21.0,21.52750572,71.36470271,7.19620453,66.46715144,coriander,10933.2
89.0,46.0,27.0,19.56260477,71.54737049,7.78606057,225.56105295,spinach,21079.85
71.0,52.0,19.0,18.32650235,79.96472178,7.2817367,187.82060983,coconutoil,15135.24
