N,P,K,temperature,humidity,pH,rainfall,state,soil_type,crop,crop_price
90.0,44.0,38.0,26.8104215,61.61280553,6.37623937,266.19405091,Assam,Mountain Soil,ridgegourd,2614.32
81.0,52.0,33.0,25.73020159,56.44543994,5.71230979,258.05245142,Punjab,Laterite Soil,pigeonpeas,1364.99
71.0,52.0,44.0,26.38077845,73.28738019,6.44165525,233.94762281,Andhra Pradesh,Black Soil,drychillies,2084.78
86.0,45.0,27.0,20.21039754,70.65168772,6.97499997,174.78736923,Assam,Laterite Soil,masurdal,2112.92
84.0,59.0,19.0,21.04268317,59.71713705,6.07925564,220.60338807,Assam,Laterite Soil,jowar,2119.78
72.0,49.0,20.0,25.45737054,67.44022331,7.51369538,82.23164712,Sikkim,Laterite Soil,leafyvegetable,2829.7
91.0,42.0,35.0,20.92101142,73.87998076,5.69574801,137.76675667,Odisha,Desert Soil,knoolkhol,1521.7
90.0,42.0,17.0,20.75368244,69.366381,6.16482696,117.27179437,Himachal Pradesh,Mountain Soil,banana,6195.21
78.0,48.0,28.0,23.98492185,79.22078437,6.30268078,95.26761871,Himachal Pradesh,Peaty Soil,zizyphus,1338.27
84.0,49.0,31.0,25.6586811,74.61406798,7.12334391,140.76908211,Jharkhand,Desert Soil,varagu,1246.2
82.0,53.0,27.0,21.57052033,79.9417382,5.08817337,69.20936585,Assam,Desert Soil,bittergourd,1749.97
100.0,53.0,21.0,21.02067259,77.08866162,6.30255176,140.1924339,Nagaland,Mountain Soil,blackpepper,10317.41
74.0,55.0,36.0,19.58627765,57.98675804,7.66432564,181.71400186,Haryana,Alluvial Soil,bittergourd,1376.72
81.0,44.0,39.0,21.94818578,68.44079863,5.21966209,238.23663102,Uttar Pradesh,Coastal Soil,tomato,1562.72
93.0,48.0,45.0,23.13944016,72.50745344,6.71138385,196.22597817,Punjab,Forest Soil,chanadal,2008.07
94.0,35.0,29.0,25.57644965,73.28840936,6.47588611,266.41844609,Andhra Pradesh,Red Soil,jaggery,1938.6
69.0,53.0,32.0,23.1151824,58.62302617,5.13505292,274.02930379,Meghalaya,Black Soil,beans,2658.48
76.0,42.0,35.0,24.44125383,72.5696897,6.08698111,247.82139942,Madhya Pradesh,Desert Soil,greenpeas,1392.25
92.0,36.0,16.0,20.84332368,65.71951143,5.1591704,276.11820744,Gujarat,Red Soil,pineapple,2920.96
86.0,55.0,44.0,24.3129098,58.05789633,6.18928271,275.41830895,Meghalaya,Desert Soil,sugar,3676.28
62.0,52.0,37.0,24.7378499,60.96537886,7.77752979,197.94823361,Tamil Nadu,Desert Soil,paddy,2309.36
75.0,43.0,29.0,21.74046671,68.28378274,7.95861383,179.84403439,West Bengal,Black Soil,mushrooms,2484.05
70.0,50.0,34.0,21.77233499,79.480981,5.20032045,98.7359529,Himachal Pradesh,Alluvial Soil,bajra,2336.51
94.0,57.0,24.0,21.21018607,60.39774613,5.46167592,68.84092298,Tamil Nadu,Desert Soil,cowpea,2908.08
